id,order,year,month,product code,title,module code,type,system,setting,confidence,edition,authors,cover_url,cover_artist,semester,season
621,,1995,,9504,Dungeon Master Screen & Master Index,,accessory,AD&D,,not verified,,Jim Butler,https://www.tsrarchive.com/add/add-acc-ind.jpg,,,
622,,1995,,9506,Chronomancer,,accessory,AD&D,,not verified,,Loren Coleman,https://www.tsrarchive.com/add/add-acc-chrono.jpg,,,
623,,1995,,9507,Shaman,,accessory,AD&D,,not verified,,Kevin Hassall & Steve Miller,https://www.tsrarchive.com/add/add-acc-shaman.jpg,,,
624,,1996,1,2441,The Wanderer's Chronicle: Mind Lords of the Last Sea,,boxed set,AD&D,Dark Sun,verified,,,,,1,
625,,1996,3,1141,Bleak House: The Death of Rudolph van Richten,,boxed set,AD&D,Ravenloft,verified,,,,,1,
626,,1996,3,2624,Uncaged: Faces of Sigil,,accessory,AD&D,Planescape,verified,,,,,1,
627,,1996,6,2163,Player's Option: Spells & Magic,,hardcover,AD&D,,likely,,Richard Baker,https://www.tsrarchive.com/add/add-opt-sm.jpg,,1,
628,,1996,6,2621,Hellbound: The Blood War,,boxed set,AD&D,Planescape,verified,,,,,1,
629,,1996,8,1146,The Rod of Seven Parts,,boxed set,AD&D,,likely,,,,,2,
630,,1996,8,2620,The Planewalker's Handbook,,accessory,AD&D,Planescape,verified,,,,,2,
631,,1996,9,1142,Requiem: The Grim Harvest,,boxed set,AD&D,Ravenloft,verified,,,,,2,
632,,1996,9,2445,Psionic Artifacts of Athas,,accessory,AD&D,Dark Sun,verified,,,,,2,
633,,1996,9,2446,Defilers and Preservers: The Wizards of Athas,,accessory,AD&D,Dark Sun,verified,,,,,2,
634,,1996,9,2623,On Hallowed Ground,,accessory,AD&D,Planescape,verified,,,,,2,
635,,1996,10,2625,A Guide to the Astral Plane,,accessory,AD&D,Planescape,verified,,,,,2,
636,,1996,,1115,Complete Starter Set,,boxed set,AD&D,,not verified,,,,,,
637,,1996,,1142,The North: Guide to the Savage Frontier,,boxed set,AD&D,Forgotten Realms,not verified,,,,,,
638,,1996,,1145,Netheril: Empire of Magic,,boxed set,AD&D,Forgotten Realms,not verified,,Skip Williams,https://www.tsrarchive.com/add/add-tome-rod.jpg,,,
639,,1996,,2157,Sages and Specialists,DMGR8,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-em3-1st.jpg,,,
640,,1996,,2162,Ravenloft MC Appendices I & II,,accessory,AD&D,Ravenloft,not verified,,William W. Connors,https://www.tsrarchive.com/rv/rv-mc1-2.jpg,,,
641,,1996,,2164,"Wizard's Spell Compendium, Volume One",,accessory,AD&D,,not verified,,,,,,
642,,1996,,2166,Monstrous Compendium Annual Volume Three,,accessory,AD&D,,not verified,,,https://www.tsrarchive.com/add/add-mcann3.jpg,,,
643,,1996,,2617,Doors to the Unknown,,adventure,AD&D,Planescape,not verified,,,,,,
644,,1996,,2619,Something Wild,,adventure,AD&D,Planescape,not verified,,,,,,
645,,1996,,3110,Player's Secrets of Baruk-Azhik,,accessory,AD&D,Birthright,not verified,,,,,,
646,,1996,,3111,Player's Secrets of Binsada,,accessory,AD&D,Birthright,not verified,,,,,,
647,,1996,,3112,Player's Secrets of Halskapa,,accessory,AD&D,Birthright,not verified,,,,,,
648,,1996,,3113,Player's Secrets of Khourane,,accessory,AD&D,Birthright,not verified,,,,,,
649,,1996,,3114,Player's Secrets of Stjordvik,,accessory,AD&D,Birthright,not verified,,,,,,
650,,1996,,3117,The Book of Magecraft,,accessory,AD&D,Birthright,not verified,,,,,,
651,,1996,,3119,A Hero's Tale,,adventure,AD&D,Birthright,not verified,,,,,,
652,,1996,,3124,Player's Secrets of Tuarhievel,,accessory,AD&D,Birthright,not verified,,,,,,
653,,1996,,3125,The Silver Key,,adventure,AD&D,Birthright,not verified,,,,,,
654,,1996,,3126,Legends of the Hero-Kings,,adventure,AD&D,Birthright,not verified,,,,,,
655,,1996,,3127,The Sword of Roele,,adventure,AD&D,Birthright,not verified,,,,,,
656,,1996,,3129,Havens of the Great Bay,,boxed set,AD&D,Birthright,not verified,,,,,,
657,,1996,,3134,Naval Battle System: The Seas of Cerilia,,boxed set,AD&D,Birthright,not verified,,,,,,
658,,1996,,3140,The Rjurik Highlands,,boxed set,AD&D,Birthright,not verified,,,,,,
659,,1996,,9295,Fritz Leiber's Lankhmar,,boxed set,AD&D,Lankhmar,not verified,,,,,,
660,,1996,,9508,Player's Guide to the Living City Campaign,LC5,accessory,AD&D,Forgotten Realms,not verified,,Ted James Thomas Zuvich,https://www.tsrarchive.com/add/add-adv-silver.jpg,,,
661,,1996,,9509,Warriors and Priests of the Realms,,accessory,AD&D,Forgotten Realms,not verified,,,,,,
662,,1996,,9510,Undermountain: Maddgoth's Castle,,adventure,AD&D,Forgotten Realms,not verified,,,,,,
663,,1996,,9511,Undermountain: The Lost Level,,adventure,AD&D,Forgotten Realms,not verified,,Kirk Botula,https://www.tsrarchive.com/add/add-jakwar.jpg,,,
664,,1996,,9512,Undermountain: Stardock,,adventure,AD&D,Forgotten Realms,not verified,,Kirk Botula & Dale Donovan & Kim Mohan,https://www.tsrarchive.com/add/add-jakdes.jpg,,,
665,,1996,,9513,Children of the Night: Vampires,,accessory,AD&D,Ravenloft,not verified,,,,,,
